Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nHH_mean,nHH_var,nHH_stdev,nHH_max,nHH_min,nHH_median,nHH_muc,nHH_notempty,cHH_mean,cHH_var,cHH_stdev,cHH_max,cHH_min,cHH_median,cHH_muc,cHH_notempty
0,2492.000000,31188.000000,891268.000000,3738.000000,12.515248,357.651685,1.500000,3115.000000,148237.662921,154574.420545,-12944.764044,-0.000000,0.000000,0.092199,4.387608,4.575166,-0.383145,-0.000000,0.000000,9.054974,20.753599,1.837276,9.054974,4.555611,1.224780,20.000000,19.000000,2.000000,358,13,2,339,0,0,375,33,3,9.004815,  2216.030486,    47.074732,   255.000000,     0.000000,     0.000000, 22440.000000,88,2.534109,    58.747531,     7.664693,    78.000000,     0.000000,     0.000000,  6315.000000,663
1,1480.000000,23296.000000,561152.000000,2220.000000,15.740540,379.156756,1.500000,1850.000000,29851.632432,76836.367567,-16067.805405,-0.000000,0.000000,0.109687,1.769915,4.555658,-0.952666,-0.000000,0.000000,6.435261,7.849391,0.784873,6.435261,2.801676,0.922429,16.000000,10.000000,2.000000,379,16,2,369,0,0,387,31,3,3.273648,   824.620806,    28.716211,   255.000000,     0.000000,     0.000000,  4845.000000,19,2.120270,    47.901684,     6.921104,   100.000000,     0.000000,     0.000000,  3138.000000,404
2,2536.000000,65284.000000,1181760.000000,3804.000000,25.742902,465.993690,1.500000,3170.000000,69071.899053,375668.372239,54119.886435,-0.000000,0.000000,0.091662,1.997265,10.862729,1.564916,-0.000000,0.000000,12.951657,20.425571,1.764216,12.951657,4.519465,1.208325,23.000000,13.000000,2.000000,466,26,2,456,4,0,479,49,3,4.424290,  1109.056987,    33.302507,   255.000000,     0.000000,     0.000000, 11220.000000,44,2.238958,    44.206386,     6.648788,    77.000000,     0.000000,     0.000000,  5678.000000,591
3,1640.000000,38960.000000,792656.000000,2460.000000,23.756097,483.326829,1.500000,2050.000000,44800.819512,86974.439024,18094.731707,-0.000000,0.000000,0.105997,2.316474,4.497106,0.935607,-0.000000,0.000000,6.919578,10.264292,1.011435,6.919578,3.203793,1.003797,18.000000,13.000000,2.000000,483,24,2,473,6,0,496,36,3,8.551829,  2108.868575,    45.922419,   255.000000,     0.000000,     0.000000, 14025.000000,55,4.206707,   100.705873,    10.035231,    78.000000,     0.000000,     0.000000,  6899.000000,532
4,6076.000000,199520.000000,1984204.000000,9114.000000,32.837393,326.564186,1.500000,7595.000000,808117.967083,794627.344305,-171510.583278,-0.000000,0.000000,0.068502,7.288716,7.167039,-1.546917,-0.000000,0.000000,14.524258,50.835819,3.414527,14.524258,7.129924,1.505833,24.000000,26.000000,2.000000,327,33,2,306,10,0,353,57,3,7.218564,  1788.920781,    42.295635,   255.000000,     0.000000,     0.000000, 43860.000000,172,3.363561,    81.688541,     9.038171,    85.000000,     0.000000,     0.000000, 20437.000000,2125
5,36.000000,760.000000,10856.000000,54.000000,21.111111,301.555555,1.500000,45.000000,24.888888,35.555555,-2.222222,0.000000,0.000000,0.378566,0.209380,0.299114,-0.018694,0.000000,0.000000,0.887061,0.254778,0.023576,0.887061,0.504755,0.286744,2.000000,2.000000,2.000000,302,21,2,300,20,0,303,23,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.527777,     2.142063,     1.463579,     7.000000,     0.000000,     0.000000,    19.000000,7
6,4224.000000,175812.000000,1203848.000000,6336.000000,41.622159,285.001893,1.500000,5280.000000,469591.984848,297912.965909,-90684.977272,0.000000,0.000000,0.077327,6.877365,4.363056,-1.328118,0.000000,0.000000,11.317750,29.111635,2.183924,11.317750,5.395519,1.297415,18.000000,23.000000,2.000000,285,42,2,262,24,0,305,59,3,6.640625,  1649.652017,    40.615908,   255.000000,     0.000000,     0.000000, 28050.000000,110,2.876420,    80.145747,     8.952415,   119.000000,     0.000000,     0.000000, 12150.000000,1500
7,4532.000000,226228.000000,1646920.000000,6798.000000,49.917917,363.398058,1.500000,5665.000000,624717.902912,315405.465136,-49947.922330,-0.000000,0.000000,0.075534,8.329726,4.205484,-0.665984,-0.000000,0.000000,12.610745,35.533842,2.612519,12.610745,5.961026,1.377272,20.000000,27.000000,2.000000,363,50,2,336,30,0,386,69,3,7.821050,  1933.625661,    43.973010,   255.000000,     0.000000,     0.000000, 35445.000000,139,5.787069,   274.174249,    16.558207,   213.000000,     0.000000,     0.000000, 26227.000000,1808
8,160.000000,6164.000000,72648.000000,240.000000,38.524999,454.049999,1.500000,200.000000,559.599999,1591.899999,447.799999,-0.000000,0.000000,0.230251,0.644245,1.832690,0.515534,-0.000000,0.000000,2.707187,1.485245,0.210663,2.707187,1.218706,0.595017,8.000000,5.000000,2.000000,454,39,2,451,31,0,459,43,3,6.375000,  1594.952830,    39.936860,   255.000000,     0.000000,     0.000000,  1020.000000,4,4.006249,   119.654048,    10.938649,    78.000000,     0.000000,     1.000000,   641.000000,85
9,16.000000,536.000000,6112.000000,24.000000,33.500000,382.000000,1.500000,20.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.496062,0.000000,0.496062,0.000000,0.000000,0.000000,0.992125,0.246078,0.000000,0.992125,0.496062,-0.000000,2.000000,0.000000,2.000000,382,34,2,382,32,0,382,35,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.625000,    27.983333,     5.289927,    18.000000,     0.000000,     0.000000,    42.000000,4
