Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,HHmol_mean,HHmol_var,HHmol_stdev,HHmol_max,HHmol_min,HHmol_median,HHmol_muc,HHmol_notempty,celnumber
0,6.000000,15.000000,2652.000000,0.000000,2.500000,442.000000,0.000000,0.000000,4.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.366881,0.137580,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,442,3,0,441,2,0,443,3,0,2.333333,     0.666667,     0.816497,     3.000000,     1.000000,     2.000000,    14.000000,6,0
1,2.000000,7.000000,638.000000,0.000000,3.500000,319.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,319,4,0,319,3,0,319,4,0,3.000000,     2.000000,     1.414214,     4.000000,     2.000000,     2.000000,     6.000000,2,0
2,6.000000,24.000000,2769.000000,0.000000,4.000000,461.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,462,4,0,461,3,0,462,5,0,3.666667,     7.466667,     2.732520,     6.000000,     0.000000,     3.000000,    22.000000,5,0
3,4.000000,18.000000,2034.000000,0.000000,4.500000,508.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,509,5,0,508,4,0,509,5,0,1.000000,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     4.000000,4,0
4,2.000000,10.000000,777.000000,0.000000,5.000000,388.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,389,5,0,388,5,0,389,5,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     4.000000,2,0
5,2.000000,10.000000,785.000000,0.000000,5.000000,392.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,393,5,0,392,5,0,393,5,0,4.000000,     0.000000,     0.000000,     4.000000,     4.000000,     4.000000,     8.000000,2,0
6,4.000000,22.000000,1770.000000,0.000000,5.500000,442.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,443,6,0,442,5,0,443,6,0,2.500000,     1.000000,     1.000000,     3.000000,     1.000000,     3.000000,    10.000000,4,0
7,4.000000,30.000000,1542.000000,0.000000,7.500000,385.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,386,8,0,385,7,0,386,8,0,2.500000,     0.333333,     0.577350,     3.000000,     2.000000,     2.000000,    10.000000,4,2
8,4.000000,30.000000,1670.000000,0.000000,7.500000,417.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,418,8,0,417,7,0,418,8,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,0
9,4.000000,34.000000,2058.000000,0.000000,8.500000,514.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,515,9,0,514,8,0,515,9,0,3.000000,     2.000000,     1.414214,     5.000000,     2.000000,     2.000000,    12.000000,4,0
10,9.000000,89.000000,3947.000000,0.000000,9.888889,438.555556,0.000000,0.000000,10.222222,4.888889,3.555556,0.000000,0.000000,0.000000,0.546037,0.261148,0.189926,0.000000,0.000000,0.807185,0.106525,0.000000,0.807185,0.326381,-0.000000,1.000000,2.000000,0.000000,439,10,0,437,9,0,440,11,0,7.000000,     5.250000,     2.291288,    11.000000,     4.000000,     6.000000,    63.000000,9,0
11,16.000000,188.000000,8770.000000,0.000000,11.750000,548.125000,0.000000,0.000000,31.750000,27.000000,-19.500000,0.000000,0.000000,0.000000,0.787500,0.669685,-0.483661,0.000000,0.000000,1.457185,0.293448,0.000000,1.457185,0.541709,-0.000000,2.000000,3.000000,0.000000,548,12,0,546,10,0,551,14,0,0.812500,     0.162500,     0.403113,     1.000000,     0.000000,     1.000000,    13.000000,13,0
12,4.000000,50.000000,1966.000000,0.000000,12.500000,491.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,492,13,0,491,12,0,492,13,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,0
13,4.000000,62.000000,1250.000000,0.000000,15.500000,312.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,313,16,0,312,15,0,313,16,0,12.750000,     4.250000,     2.061553,    15.000000,    11.000000,    11.000000,    51.000000,4,0
14,4.000000,62.000000,1278.000000,0.000000,15.500000,319.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,320,16,0,319,15,0,320,16,0,4.750000,     0.250000,     0.500000,     5.000000,     4.000000,     5.000000,    19.000000,4,5
15,3.000000,46.000000,968.000000,0.000000,15.333333,322.666667,0.000000,0.000000,0.666667,0.666667,0.333333,0.000000,0.000000,0.000000,0.154080,0.154080,0.077040,0.000000,0.000000,0.308161,0.017806,0.000000,0.308161,0.133437,-0.000000,1.000000,1.000000,0.000000,323,15,0,322,15,0,323,16,0,7.000000,     7.000000,     2.645751,     9.000000,     4.000000,     8.000000,    21.000000,3,5
16,13.000000,221.000000,6573.000000,0.000000,17.000000,505.615385,0.000000,0.000000,13.076923,22.000000,-11.000000,0.000000,0.000000,0.000000,0.427807,0.719722,-0.359861,0.000000,0.000000,1.147529,0.178402,0.000000,1.147529,0.422377,-0.000000,2.000000,2.000000,0.000000,506,17,0,504,15,0,507,19,0,7.538462,    22.769231,     4.771712,    15.000000,     0.000000,     8.000000,    98.000000,12,0
17,7.000000,121.000000,3765.000000,0.000000,17.285714,537.857143,0.000000,0.000000,4.857143,3.428571,1.285714,0.000000,0.000000,0.000000,0.362730,0.256045,0.096017,0.000000,0.000000,0.618775,0.083656,0.000000,0.618775,0.289233,-0.000000,1.000000,1.000000,0.000000,538,17,0,537,16,0,539,18,0,1.857143,     0.142857,     0.377964,     2.000000,     1.000000,     2.000000,    13.000000,7,0
18,22.000000,424.000000,6349.000000,0.000000,19.272727,288.590909,0.000000,0.000000,95.318182,18.363636,-15.545455,0.000000,0.000000,0.000000,1.546247,0.297894,-0.252178,0.000000,0.000000,1.844141,0.397024,0.000000,1.844141,0.630099,-0.000000,2.000000,4.000000,0.000000,289,19,0,285,18,0,292,21,0,10.181818,    16.251082,     4.031263,    18.000000,     2.000000,    10.000000,   224.000000,22,0
19,13.000000,260.000000,4539.000000,0.000000,20.000000,349.153846,0.000000,0.000000,7.692308,22.000000,0.000000,0.000000,0.000000,0.000000,0.251651,0.719722,0.000000,0.000000,0.000000,0.971373,0.181119,0.000000,0.971373,0.425581,-0.000000,2.000000,1.000000,0.000000,349,20,0,348,18,0,350,22,0,28.000000,    50.333333,     7.094599,    37.000000,    16.000000,    31.000000,   364.000000,13,1
20,4.000000,78.000000,1898.000000,0.000000,19.500000,474.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,475,20,0,474,19,0,475,20,0,8.250000,     2.250000,     1.500000,    10.000000,     7.000000,     7.000000,    33.000000,4,0
21,4.000000,82.000000,1518.000000,0.000000,20.500000,379.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,380,21,0,379,20,0,380,21,0,12.750000,    40.916667,     6.396614,    18.000000,     5.000000,    10.000000,    51.000000,4,2
22,4.000000,82.000000,2030.000000,0.000000,20.500000,507.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,508,21,0,507,20,0,508,21,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     8.000000,4,0
23,25.000000,628.000000,7504.000000,0.000000,25.120000,300.160000,0.000000,0.000000,119.360000,72.640000,-58.480000,0.000000,0.000000,0.000000,1.632822,0.993701,-0.799995,0.000000,0.000000,2.626523,0.982545,0.000000,2.626523,0.991234,-0.000000,3.000000,3.000000,0.000000,300,25,0,297,22,0,303,28,0,1.480000,     0.593333,     0.770281,     2.000000,     0.000000,     2.000000,    37.000000,21,6
24,7.000000,162.000000,2949.000000,0.000000,23.142857,421.285714,0.000000,0.000000,3.428571,4.857143,-1.285714,0.000000,0.000000,0.000000,0.256045,0.362730,-0.096017,0.000000,0.000000,0.618775,0.083656,0.000000,0.618775,0.289233,-0.000000,1.000000,1.000000,0.000000,421,23,0,420,22,0,422,24,0,3.142857,     1.142857,     1.069045,     4.000000,     1.000000,     3.000000,    22.000000,7,0
25,1.000000,22.000000,439.000000,0.000000,22.000000,439.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,439,22,0,439,22,0,439,22,0,10.181818,     0.000000,     0.000000,     3.000000,     3.000000,     3.000000,     3.000000,1,0
26,4.000000,98.000000,1730.000000,0.000000,24.500000,432.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,433,25,0,432,24,0,433,25,0,14.500000,     9.000000,     3.000000,    17.000000,    11.000000,    13.000000,    58.000000,4,0
