Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nMS2_mean,nMS2_var,nMS2_stdev,nMS2_max,nMS2_min,nMS2_median,nMS2_muc,nMS2_notempty,cMS2_mean,cMS2_var,cMS2_stdev,cMS2_max,cMS2_min,cMS2_median,cMS2_muc,cMS2_notempty
0,2492.000000,31188.000000,891268.000000,3738.000000,12.515249,357.651685,1.500000,3115.000000,148237.662921,154574.420546,-12944.764045,0.000000,0.000000,0.092199,4.387608,4.575167,-0.383145,0.000000,0.000000,9.054974,20.753599,1.837276,9.054974,4.555612,1.224780,20.000000,19.000000,2.000000,358,13,2,339,0,0,375,33,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,1.030498,    12.878235,     3.588626,    61.000000,     0.000000,     0.000000,  2568.000000,640
1,1480.000000,23296.000000,561152.000000,2220.000000,15.740541,379.156757,1.500000,1850.000000,29851.632432,76836.367568,-16067.805405,0.000000,0.000000,0.109687,1.769915,4.555659,-0.952667,0.000000,0.000000,6.435261,7.849391,0.784873,6.435261,2.801677,0.922429,16.000000,10.000000,2.000000,379,16,2,369,0,0,387,31,3,0.689189,   175.386766,    13.243367,   255.000000,     0.000000,     0.000000,  1020.000000,4,1.331757,    16.597774,     4.074037,    42.000000,     0.000000,     0.000000,  1971.000000,380
2,2536.000000,65284.000000,1181760.000000,3804.000000,25.742902,465.993691,1.500000,3170.000000,69071.899054,375668.372240,54119.886435,0.000000,0.000000,0.091663,1.997265,10.862730,1.564917,0.000000,0.000000,12.951658,20.425572,1.764216,12.951658,4.519466,1.208326,23.000000,13.000000,2.000000,466,26,2,456,4,0,479,49,3,0.703864,   179.060593,    13.381352,   255.000000,     0.000000,     0.000000,  1785.000000,7,1.226341,    23.013049,     4.797192,    70.000000,     0.000000,     0.000000,  3110.000000,684
3,1640.000000,38960.000000,792656.000000,2460.000000,23.756098,483.326829,1.500000,2050.000000,44800.819512,86974.439024,18094.731707,0.000000,0.000000,0.105997,2.316474,4.497106,0.935607,0.000000,0.000000,6.919578,10.264293,1.011435,6.919578,3.203793,1.003797,18.000000,13.000000,2.000000,483,24,2,473,6,0,496,36,3,1.710366,   433.482260,    20.820237,   255.000000,     0.000000,     0.000000,  2805.000000,11,1.206098,    12.457803,     3.529561,    32.000000,     0.000000,     0.000000,  1978.000000,443
4,6076.000000,199520.000000,1984204.000000,9114.000000,32.837393,326.564187,1.500000,7595.000000,808117.967083,794627.344305,-171510.583278,0.000000,0.000000,0.068502,7.288717,7.167040,-1.546918,0.000000,0.000000,14.524259,50.835819,3.414528,14.524259,7.129924,1.505833,24.000000,26.000000,2.000000,327,33,2,306,10,0,353,57,3,2.838381,   711.644657,    26.676669,   255.000000,     0.000000,     0.000000, 17246.000000,70,1.360270,    20.772406,     4.557676,    71.000000,     0.000000,     0.000000,  8265.000000,1669
5,36.000000,760.000000,10856.000000,54.000000,21.111111,301.555556,1.500000,45.000000,24.888889,35.555556,-2.222222,0.000000,0.000000,0.378567,0.209380,0.299115,-0.018695,0.000000,0.000000,0.887061,0.254778,0.023577,0.887061,0.504756,0.286744,2.000000,2.000000,2.000000,302,21,2,300,20,0,303,23,3,7.083333,  1806.250000,    42.500000,   255.000000,     0.000000,     0.000000,   255.000000,1,0.833333,     3.685714,     1.919821,     8.000000,     0.000000,     0.000000,    30.000000,9
6,4224.000000,175812.000000,1203848.000000,6336.000000,41.622159,285.001894,1.500000,5280.000000,469591.984848,297912.965909,-90684.977273,0.000000,0.000000,0.077328,6.877366,4.363057,-1.328118,0.000000,0.000000,11.317750,29.111635,2.183924,11.317750,5.395520,1.297416,18.000000,23.000000,2.000000,285,42,2,262,24,0,305,59,3,1.960464,   490.476059,    22.146694,   255.000000,     0.000000,     0.000000,  8281.000000,34,1.320786,    17.589471,     4.193980,    64.000000,     0.000000,     0.000000,  5579.000000,1158
7,4532.000000,226228.000000,1646920.000000,6798.000000,49.917917,363.398058,1.500000,5665.000000,624717.902913,315405.465137,-49947.922330,0.000000,0.000000,0.075535,8.329727,4.205484,-0.665985,0.000000,0.000000,12.610746,35.533843,2.612520,12.610746,5.961027,1.377272,20.000000,27.000000,2.000000,363,50,2,336,30,0,386,69,3,1.741395,   439.903093,    20.973867,   255.000000,     0.000000,     0.000000,  7892.000000,32,2.456752,    52.825982,     7.268148,   102.000000,     0.000000,     0.000000, 11134.000000,1551
8,160.000000,6164.000000,72648.000000,240.000000,38.525000,454.050000,1.500000,200.000000,559.600000,1591.900000,447.800000,0.000000,0.000000,0.230252,0.644245,1.832691,0.515534,0.000000,0.000000,2.707188,1.485246,0.210664,2.707188,1.218707,0.595018,8.000000,5.000000,2.000000,454,39,2,451,31,0,459,43,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.218750,    81.832351,     9.046124,    68.000000,     0.000000,     0.000000,   515.000000,41
9,16.000000,536.000000,6112.000000,24.000000,33.500000,382.000000,1.500000,20.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.496063,0.000000,0.496063,0.000000,0.000000,0.000000,0.992126,0.246078,0.000000,0.992126,0.496063,-0.000000,2.000000,0.000000,2.000000,382,34,2,382,32,0,382,35,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.062500,    33.395833,     5.778913,    17.000000,     0.000000,     1.000000,    49.000000,9
10,4.000000,140.000000,1992.000000,6.000000,35.000000,498.000000,1.500000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.787451,0.000000,0.000000,0.000000,0.000000,0.000000,0.787451,0.000000,0.000000,0.787451,0.000000,-0.000000,0.000000,0.000000,2.000000,498,35,2,498,35,0,498,35,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0
11,8.000000,280.000000,4548.000000,12.000000,35.000000,568.500000,1.500000,10.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.625000,0.125000,0.000000,0.000000,0.000000,0.000000,0.750000,0.078125,0.000000,0.750000,0.279508,-0.000000,0.000000,1.000000,2.000000,569,35,2,568,35,0,569,35,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.375000,     0.267857,     0.517549,     1.000000,     0.000000,     0.000000,     3.000000,3
12,2104.000000,104920.000000,1046720.000000,3156.000000,49.866920,497.490494,1.500000,2630.000000,129469.809886,77874.737643,45253.338403,0.000000,0.000000,0.097550,4.802207,2.888477,1.678506,0.000000,0.000000,7.788234,11.803909,1.078289,7.788234,3.435682,1.025443,13.000000,17.000000,2.000000,497,50,2,482,37,0,514,61,3,0.478612,   119.252039,    10.920258,   255.000000,     0.000000,     0.000000,  1007.000000,5,2.609791,    55.311763,     7.437188,    64.000000,     0.000000,     0.000000,  5491.000000,710
13,8.000000,304.000000,4628.000000,12.000000,38.000000,578.500000,1.500000,10.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.625000,0.125000,0.000000,0.000000,0.000000,0.000000,0.750000,0.078125,0.000000,0.750000,0.279508,-0.000000,0.000000,1.000000,2.000000,579,38,2,578,38,0,579,38,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,1.375000,     6.553571,     2.559994,     6.000000,     0.000000,     0.000000,    11.000000,2
14,1640.000000,78252.000000,923776.000000,2460.000000,47.714634,563.278049,1.500000,2050.000000,77769.209756,44342.448780,-4393.873171,0.000000,0.000000,0.105997,4.021140,2.292774,-0.227190,0.000000,0.000000,6.419911,9.837209,0.971779,6.419911,3.136432,0.990503,13.000000,16.000000,2.000000,563,48,2,549,39,0,579,61,3,1.776220,   435.534394,    20.869461,   255.000000,     0.000000,     0.000000,  2913.000000,13,0.593902,     5.322477,     2.307049,    42.000000,     0.000000,     0.000000,   974.000000,303
15,408.000000,21832.000000,244528.000000,612.000000,53.509804,599.333333,1.500000,510.000000,40186.666667,26085.960784,31482.666667,0.000000,0.000000,0.168535,13.280113,8.620384,10.403783,0.000000,0.000000,22.069032,9.931969,1.051821,22.069032,3.151503,1.016984,15.000000,17.000000,2.000000,599,54,2,582,39,0,615,65,3,1.875000,   475.775491,    21.812278,   255.000000,     0.000000,     0.000000,   765.000000,3,0.399510,     1.198722,     1.094862,    11.000000,     0.000000,     0.000000,   163.000000,85
16,48.000000,2020.000000,12316.000000,72.000000,42.083333,256.583333,1.500000,60.000000,83.666667,43.666667,-30.333333,0.000000,0.000000,0.343951,0.479620,0.250320,-0.173886,0.000000,0.000000,1.073891,0.340885,0.030894,1.073891,0.583854,0.313781,2.000000,3.000000,2.000000,257,42,2,254,40,0,258,43,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.333333,     0.482270,     0.694456,     3.000000,     0.000000,     0.000000,    16.000000,11
17,1604.000000,86392.000000,720472.000000,2406.000000,53.860349,449.172070,1.500000,2005.000000,95908.508728,34880.718204,-15649.456359,0.000000,0.000000,0.106785,5.108005,1.857717,-0.833477,0.000000,0.000000,7.072507,9.538377,0.939122,7.072507,3.088426,0.979281,11.000000,16.000000,2.000000,449,54,2,435,44,0,465,65,3,2.225686,   562.947163,    23.726508,   255.000000,     0.000000,     0.000000,  3570.000000,14,2.181421,    43.357584,     6.584648,    65.000000,     0.000000,     0.000000,  3499.000000,557
