Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,MS2mol_mean,MS2mol_var,MS2mol_stdev,MS2mol_max,MS2mol_min,MS2mol_median,MS2mol_muc,MS2mol_notempty,celnumber
0,2.000000,4.000000,861.000000,0.000000,2.000000,430.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,431,2,0,430,2,0,431,2,0,8.500000,     0.500000,     0.707107,     9.000000,     8.000000,     8.000000,    17.000000,2,0
1,4.000000,18.000000,1978.000000,0.000000,4.500000,494.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,495,5,0,494,4,0,495,5,0,2.250000,     0.916667,     0.957427,     3.000000,     1.000000,     2.000000,     9.000000,4,0
2,4.000000,22.000000,1898.000000,0.000000,5.500000,474.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,475,6,0,474,5,0,475,6,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,0
3,4.000000,22.000000,1930.000000,0.000000,5.500000,482.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,483,6,0,482,5,0,483,6,0,2.250000,     4.250000,     2.061553,     5.000000,     0.000000,     2.000000,     9.000000,3,0
4,4.000000,30.000000,1798.000000,0.000000,7.500000,449.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,450,8,0,449,7,0,450,8,0,0.750000,     0.250000,     0.500000,     1.000000,     0.000000,     1.000000,     3.000000,3,0
5,8.000000,73.000000,2633.000000,0.000000,9.125000,329.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,329,9,0,328,8,0,330,10,0,2.625000,     0.553571,     0.744024,     3.000000,     1.000000,     3.000000,    21.000000,8,0
6,2.000000,19.000000,1046.000000,0.000000,9.500000,523.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,523,10,0,523,9,0,523,10,0,2.500000,     0.500000,     0.707107,     3.000000,     2.000000,     2.000000,     5.000000,2,0
7,21.000000,261.000000,6999.000000,0.000000,12.428571,333.285714,0.000000,0.000000,22.285714,55.142857,-2.571429,0.000000,0.000000,0.000000,0.384652,0.951766,-0.044383,0.000000,0.000000,1.336418,0.364128,0.000000,1.336418,0.603431,-0.000000,3.000000,2.000000,0.000000,333,12,0,332,10,0,335,15,0,5.095238,     4.890476,     2.211442,     9.000000,     2.000000,     4.000000,   107.000000,21,0
8,1.000000,10.000000,389.000000,0.000000,10.000000,389.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,389,10,0,389,10,0,389,10,0,0.000000,     0.000000,     0.000000,     7.000000,     7.000000,     7.000000,     7.000000,1,0
9,2.000000,22.000000,753.000000,0.000000,11.000000,376.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,377,11,0,376,11,0,377,11,0,1.000000,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     2.000000,2,2
