Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,SXLmol_mean,SXLmol_var,SXLmol_stdev,SXLmol_max,SXLmol_min,SXLmol_median,SXLmol_muc,SXLmol_notempty,celnumber
0,3.000000,14.000000,974.000000,0.000000,4.666667,324.666667,0.000000,0.000000,0.666667,0.666667,-0.333333,0.000000,0.000000,0.000000,0.154080,0.154080,-0.077040,0.000000,0.000000,0.308161,0.017806,0.000000,0.308161,0.133437,-0.000000,1.000000,1.000000,0.000000,325,5,0,324,4,0,325,5,0,5.000000,     1.000000,     1.000000,     6.000000,     4.000000,     5.000000,    15.000000,3,0
1,4.000000,30.000000,1362.000000,0.000000,7.500000,340.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,341,8,0,340,7,0,341,8,0,1.250000,     0.916667,     0.957427,     2.000000,     0.000000,     1.000000,     5.000000,3,1
2,4.000000,30.000000,1814.000000,0.000000,7.500000,453.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,454,8,0,453,7,0,454,8,0,11.250000,    10.916667,     3.304038,    15.000000,     7.000000,    11.000000,    45.000000,4,0
3,4.000000,46.000000,1298.000000,0.000000,11.500000,324.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,325,12,0,324,11,0,325,12,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     8.000000,4,0
4,4.000000,46.000000,1426.000000,0.000000,11.500000,356.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,357,12,0,356,11,0,357,12,0,2.750000,     0.250000,     0.500000,     3.000000,     2.000000,     3.000000,    11.000000,4,1
5,2.000000,24.000000,1003.000000,0.000000,12.000000,501.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,502,12,0,501,12,0,502,12,0,3.000000,     0.000000,     0.000000,     3.000000,     3.000000,     3.000000,     6.000000,2,0
6,2.000000,26.000000,625.000000,0.000000,13.000000,312.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,313,13,0,312,13,0,313,13,0,1.500000,     0.500000,     0.707107,     2.000000,     1.000000,     1.000000,     3.000000,2,0
7,10.000000,145.000000,3215.000000,0.000000,14.500000,321.500000,0.000000,0.000000,10.500000,10.500000,7.500000,0.000000,0.000000,0.000000,0.487367,0.487367,0.348119,0.000000,0.000000,0.974734,0.116339,0.000000,0.974734,0.341086,-0.000000,2.000000,2.000000,0.000000,322,15,0,320,13,0,323,16,0,1.700000,     0.233333,     0.483046,     2.000000,     1.000000,     2.000000,    17.000000,10,0
8,1.000000,14.000000,384.000000,0.000000,14.000000,384.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,384,14,0,384,14,0,384,14,0,0.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     2.000000,1,2
9,9.000000,140.000000,4645.000000,0.000000,15.555556,516.111111,0.000000,0.000000,4.888889,10.222222,-3.555556,0.000000,0.000000,0.000000,0.261148,0.546037,-0.189926,0.000000,0.000000,0.807185,0.106525,0.000000,0.807185,0.326381,-0.000000,2.000000,1.000000,0.000000,516,16,0,515,14,0,517,17,0,3.777778,     1.694444,     1.301708,     5.000000,     1.000000,     4.000000,    34.000000,9,0
